country,alpha_2_code,alpha_3_code,numeric_code,indicator,time_period,obs_value,sex,Population,Key,GDP per capita (constant 2015 US$),GDP growth (annual %),GNI (current US$),"Inflation, consumer prices (annual %)"
Afghanistan,AF,AFG,4,Proportion of individuals who own a mobile telephone,2016,47,Total,34700612,Afghanistan2016,563.87,2.26,18350475875,4.38
Algeria,DZ,DZA,12,Proportion of individuals who own a mobile telephone,2018,83,Female,42505035,Algeria2018,4717.00,1.40,1.9E+11,4.27
Algeria,DZ,DZA,12,Proportion of individuals who own a mobile telephone,2018,93,Male,42505035,Algeria2018,4717.00,1.40,1.9E+11,4.27
Algeria,DZ,DZA,12,Proportion of individuals who own a mobile telephone,2018,88,Total,42505035,Algeria2018,4717.00,1.40,1.9E+11,4.27
Angola,AO,AGO,24,Proportion of individuals who own a mobile telephone,2014,80,Female,27160769,Angola2014,3300.74,4.82,1.28E+11,7.28
Angola,AO,AGO,24,Proportion of individuals who own a mobile telephone,2014,78,Male,27160769,Angola2014,3300.74,4.82,1.28E+11,7.28
Angola,AO,AGO,24,Proportion of individuals who own a mobile telephone,2014,79,Total,27160769,Angola2014,3300.74,4.82,1.28E+11,7.28
Argentina,AR,ARG,32,Proportion of individuals who own a mobile telephone,2022,89,Female,45407904,Argentina2022,13182.79,5.27,6.21E+11,0.00
Argentina,AR,ARG,32,Proportion of individuals who own a mobile telephone,2022,89,Male,45407904,Argentina2022,13182.79,5.27,6.21E+11,0.00
Argentina,AR,ARG,32,Proportion of individuals who own a mobile telephone,2019,84,Total,44973465,Argentina2019,12706.40,-2.00,4.3E+11,0.00
Argentina,AR,ARG,32,Proportion of individuals who own a mobile telephone,2020,88,Total,45191965,Argentina2020,11393.05,-9.90,3.75E+11,0.00
Argentina,AR,ARG,32,Proportion of individuals who own a mobile telephone,2021,88,Total,45312281,Argentina2021,12549.28,10.44,4.77E+11,0.00
Argentina,AR,ARG,32,Proportion of individuals who own a mobile telephone,2022,89,Total,45407904,Argentina2022,13182.79,5.27,6.21E+11,0.00
Armenia,AM,ARM,51,Proportion of individuals who own a mobile telephone,2017,73,Female,2979400,Armenia2017,3815.37,7.50,11933013893,0.97
Armenia,AM,ARM,51,Proportion of individuals who own a mobile telephone,2018,77,Female,2969000,Armenia2018,4027.83,5.20,12658281184,2.52
Armenia,AM,ARM,51,Proportion of individuals who own a mobile telephone,2017,73,Male,2979400,Armenia2017,3815.37,7.50,11933013893,0.97
Armenia,AM,ARM,51,Proportion of individuals who own a mobile telephone,2018,76,Male,2969000,Armenia2018,4027.83,5.20,12658281184,2.52
Armenia,AM,ARM,51,Proportion of individuals who own a mobile telephone,2017,73,Total,2979400,Armenia2017,3815.37,7.50,11933013893,0.97
Armenia,AM,ARM,51,Proportion of individuals who own a mobile telephone,2018,76,Total,2969000,Armenia2018,4027.83,5.20,12658281184,2.52
Azerbaijan,AZ,AZE,31,Proportion of individuals who own a mobile telephone,2014,71,Female,9535079,Azerbaijan2014,5506.18,2.75,73082959455,1.37
